id,name,producer_country_id
1,AALTO,3
2,Achaval Ferrer,1
3,Altanza,3
4,Alto de la Ballena,4
5,Altocedro,1
6,Amayna,2
7,Ànima Negra,3
8,Aquitania,2
9,Baron Philippe de Rothschild,2
10,Bouza,4
11,Caelum,1
12,Camilo Castilla,3
13,Carrau,4
14,Casa Marín,2
15,Castaño,3
16,Castell d'Encus,3
17,Castillo Viejo,4
18,Celler Credo,3
19,Conde de San Cristóbal,3
20,Contador,3
21,Dan Murphys,1
22,Durón,3
23,El Porvenir,1
24,Enrique Foster,1
25,Ferrer Bobet,3
26,Finca Egomei,3
27,Gimenez Mendez,4
28,Giró Ribot,3
29,Gramona,3
30,Grifoll-Declara,3
31,Habla  ,3
32,Juan Carlos Sancha,3
33,Juvé y Camps,3
34,Lagarde,1
35,Loma Larga,2
36,Luna Beberide,3
37,Maquis,2
38,Marichal,4
39,Marketing,5
40,Marqués de Vargas,3
41,Martinez Corta,3
42,Mas Doix,3
43,Mas Perinet,3
44,Mauricio Lorca,1
45,Mendel,1
46,Mi Terruño,1
47,Millaman,2
48,Monte Amán,3
49,na,6
50,Narbona,4
51,Neo,3
52,Nestares Eguizábal,3
53,O. Fournier (Argentina),1
54,O. Fournier (Chile),2
55,O. Fournier (Spain),3
56,Ossian,3
57,Paco García,3
58,Pagos de Galir,3
59,Pazo San Mauro,3
60,Pizzorno,4
61,Quintas de Aves,3
62,Recaredo,3
63,Renacer,1
64,Sant Josep,3
65,Solar de Samaniego,3
66,Tamaya,2
67,Terra de Falanis,3
68,TRICÓ,3
69,Tukma,1
70,Viña Haras de Pirque,2
71,Viña Quintay,2
72,Viñedo de los Vientos,4
73,Vivanco,3
74,Vizcarra,3
75,Yzaguirre,3